country,region,region_index,happiness,social_support,life_expectancy,freedom_of_choice,corruption,log_gdp,generosity
Laos,Southeast Asia,9,-0.77,-0.816,-0.73,0.878,-0.797,8.709,0.544
Latvia,Central and Eastern Europe,2,0.439,0.737,0.225,-0.619,0.354,10.133,-0.952
Lebanon,Middle East and North Africa,3,-0.296,-0.243,0.72,-1.362,0.98,9.492,-0.399
Liberia,Sub-Saharan Africa,8,-0.947,-1.001,-1.4,-0.354,0.735,6.629,0.321
Luxembourg,Western Europe,7,1.406,0.822,1.16,0.971,-2.253,11.465,0.254
Macedonia,Central and Eastern Europe,2,-0.225,-0.05,0.326,-0.208,0.674,9.504,-0.322
Madagascar,Sub-Saharan Africa,8,-1.256,-1.485,-0.845,-1.629,0.627,7.249,-0.091
Malawi,Sub-Saharan Africa,8,-1.846,-2.071,-1.209,0.541,-0.001,7.003,0.202
Mali,Sub-Saharan Africa,8,-0.664,-0.534,-1.876,-0.199,0.712,7.609,-0.334
Malta,Western Europe,7,1.062,1.086,1.111,1.134,-0.246,10.503,1.573
Mauritania,Sub-Saharan Africa,8,-0.721,-0.221,-1.327,-1.965,0.237,8.188,-0.771
Mauritius,Sub-Saharan Africa,8,0.614,0.861,0.289,1.045,0.465,9.915,0.528
Mexico,Latin America and Caribbean,4,0.825,-0.051,0.619,0.647,0.368,9.742,-1.218
Moldova,Commonwealth of Independent States,5,-0.143,0.205,0.04,-1.766,1.067,8.546,0.048
Mongolia,East Asia,10,-0.135,0.977,-0.144,-0.814,0.725,9.319,0.731
Montenegro,Central and Eastern Europe,2,0.115,0.622,0.493,-1.195,0.117,9.694,-0.46
Morocco,Middle East and North Africa,3,-0.154,-1.362,0.255,0.278,0.589,8.915,-1.351
Mozambique,Sub-Saharan Africa,8,-1.076,-1.054,-1.773,0.344,-0.293,7.047,-0.066
Myanmar,Southeast Asia,9,-1.188,-0.089,-0.76,0.839,-0.646,8.635,3.982
Namibia,Sub-Saharan Africa,8,-0.932,0.185,-1.043,0.248,0.538,9.203,-1.188
Nepal,South Asia,1,-0.668,0.086,-0.282,0.52,0.197,7.801,0.98
Netherlands,Western Europe,7,1.761,1.079,1.084,1.108,-2.07,10.792,1.546
New Zealand,North America and ANZ,6,1.644,1.231,1.083,1.279,-2.856,10.476,1.843
Nicaragua,Latin America and Caribbean,4,0.884,0.265,0.376,1.122,-0.344,8.575,0.132
Niger,Sub-Saharan Africa,8,-0.776,-1.851,-1.592,-0.744,0.239,6.831,-0.008
Nigeria,Sub-Saharan Africa,8,-0.146,-0.6,-2.312,0.369,0.558,8.586,0.774
Norway,Western Europe,7,1.868,1.191,1.013,1.363,-2.701,11.082,1.376
Pakistan,South Asia,1,0.308,-0.957,-0.783,-0.516,-0.116,8.519,0.257
Panama,Latin America and Caribbean,4,0.966,0.875,0.612,0.945,0.591,10.003,-0.953
Peru,Latin America and Caribbean,4,0.201,0.199,0.265,0.374,0.895,9.413,-0.97
Philippines,Southeast Asia,9,0.097,0.372,-0.415,1.15,-0.131,8.939,-0.852
Portugal,Western Europe,7,0.202,0.777,1.155,0.988,0.814,10.237,-1.069
Romania,Central and Eastern Europe,2,0.539,0.043,0.456,0.468,1.063,10.029,-0.955
Russia,Commonwealth of Independent States,5,0.083,0.745,-0.056,-0.374,0.706,10.104,-0.919
Senegal,Sub-Saharan Africa,8,-0.716,-0.515,-0.715,-0.718,0.504,7.812,-0.113
Serbia,Central and Eastern Europe,2,-0.324,0.643,0.301,-0.734,0.65,9.562,-0.439
Sierra Leone,Sub-Saharan Africa,8,-1.246,-1.271,-2.508,-0.532,0.633,7.253,0.624
Singapore,Southeast Asia,9,0.797,0.755,1.637,1.153,-3.191,11.317,0.818
Slovakia,Central and Eastern Europe,2,0.785,0.888,0.708,-0.504,1.034,10.314,-0.381
Slovenia,Central and Eastern Europe,2,0.608,1.01,0.995,1.112,0.524,10.354,-0.14
South Africa,Sub-Saharan Africa,8,-0.867,0.532,-1.078,0.068,0.724,9.405,-0.799
South Korea,East Asia,10,0.347,0.008,1.403,-1.881,0.646,10.49,0.089
Spain,Western Europe,7,0.665,0.803,1.463,-0.181,0.315,10.445,-0.194
Sri Lanka,South Asia,1,-1.03,0.139,0.249,0.378,0.61,9.378,0.595
Sweden,Western Europe,7,1.607,0.893,1.267,1.219,-2.759,10.77,1.036
Switzerland,Western Europe,7,1.774,1.188,1.289,1.144,-2.331,10.956,1.113
Tajikistan,Commonwealth of Independent States,5,0.307,-1.185,-0.057,0.417,-0.091,7.957,0.846
Tanzania,Sub-Saharan Africa,8,-1.908,-0.835,-0.888,0.171,-0.452,7.896,0.732
Thailand,Southeast Asia,9,0.405,0.589,0.398,1.128,0.83,9.688,1.329
Togo,Sub-Saharan Africa,8,-1.004,-2.465,-1.47,-0.485,-0.051,7.252,-0.167
Trinidad and Tobago,Latin America and Caribbean,4,0.63,0.91,-0.219,0.629,0.984,10.324,-0.023
Tunisia,Middle East and North Africa,3,-1.215,-0.733,0.327,-2.352,0.747,9.294,-1.386
Turkey,Middle East and North Africa,3,0.109,0.582,0.316,-1.05,-0.356,10.119,-1.469
Uganda,Sub-Saharan Africa,8,-1.325,-0.546,-1.535,-0.05,0.451,7.443,0.515
Ukraine,Commonwealth of Independent States,5,-1.048,0.433,-0.03,-1.406,1.125,8.968,0.169
United Kingdom,Western Europe,7,1.444,1.087,1.141,0.266,-1.761,10.585,1.818
United States,North America and ANZ,6,1.344,0.951,0.84,0.702,-0.298,10.9,1.199
Uruguay,Latin America and Caribbean,4,0.759,0.891,0.657,0.932,-0.602,9.918,-0.584
Uzbekistan,Commonwealth of Independent States,5,0.835,1.125,-0.031,1.615,-1.504,8.763,0.778
Zambia,Sub-Saharan Africa,8,-1.386,-0.515,-1.266,0.348,0.027,8.212,0.876
Zimbabwe,Sub-Saharan Africa,8,-1.649,-0.429,-1.415,-0.202,0.092,7.538,-0.343
